Base Size,Exponent Size,Mean,Stddev
-16,32,2.9843179319428606e-6,8.83362004399204e-9
-16,48,4.3595971750257364e-6,1.4360061925935615e-8
-32,48,4.462432728499072e-6,1.3138805522509959e-8
48,-16,1.5790110516645585e-6,4.838791984736604e-9
64,-16,1.5767457030308235e-6,4.926306168209673e-9
-48,16,1.6106775226609714e-6,5.222342948905457e-9
16,0,9.145294720105465e-9,5.1604636259544366e-11
16,-48,4.322796937384087e-6,1.361123685796091e-8
16,16,1.5726705857821806e-6,5.453845937517172e-9
32,48,4.375816735766914e-6,1.3656824384238517e-8
-64,0,9.238317992487324e-9,3.6470465292684206e-11
16,64,5.752508584623776e-6,1.904630165849174e-8
16,48,4.384388545768744e-6,1.6356679207626383e-8
32,16,1.5653416235742515e-6,5.02979963514527e-9
48,-64,5.7625785564307385e-6,1.726639003592789e-8
64,64,5.791352180540164e-6,1.73544292357876e-8
64,48,4.395499930654589e-6,1.3667412600890367e-8
16,-16,1.5705439778671974e-6,5.066416658681916e-9
64,-48,4.377766428534865e-6,1.4729773270253276e-8
64,16,1.5980327387776884e-6,5.058148662918435e-9
-48,-48,4.715728104374315e-6,1.492699119010073e-8
64,0,9.121744147887147e-9,5.492898706773348e-11
32,32,2.988832988630415e-6,8.417765417076402e-9
-16,-48,4.687442667998658e-6,1.4178307176880361e-8
16,-64,5.767478886690637e-6,1.5392477985320598e-8
-32,16,1.5749172054120752e-6,5.3655237572899835e-9
0,32,9.560764663922757e-9,4.884754945671414e-11
-48,0,9.15503455264618e-9,5.295793844388103e-11
-16,-32,3.3295158738367393e-6,1.0550200781816639e-8
-48,-64,6.098528476268418e-6,1.9889009385336586e-8
0,48,9.493856896052361e-9,5.2628715876822285e-11
48,-48,4.371822612237155e-6,1.246551024502915e-8
-32,-48,4.683680738136149e-6,1.4708138342985818e-8
-32,-64,6.078022223057944e-6,1.8935922467647562e-8
48,32,2.992864223223678e-6,8.930211172362272e-9
-16,-16,1.8745361888081266e-6,5.590263479978504e-9
-48,-32,3.3210223098131584e-6,1.0604072293305083e-8
-16,16,1.5912605030296276e-6,5.249172946624498e-9
-16,64,5.730165358711486e-6,1.7883316350982465e-8
0,0,9.11327621147793e-9,3.306117337272004e-11
64,32,2.9926369759291425e-6,9.534309673434104e-9
-64,48,4.36158331784428e-6,1.3696002835290843e-8
-48,32,3.0067695621094583e-6,9.03747073461604e-9
-48,48,4.384861837645814e-6,1.4184020844662249e-8
48,16,1.585164816684771e-6,5.4168756993540355e-9
-64,64,5.759175975160846e-6,1.9638238194279017e-8
32,-48,4.362281937464435e-6,1.3349249707587906e-8
-64,-16,1.929353297587995e-6,6.64597840811853e-9
48,64,6.250964908341327e-6,2.0025274178146398e-8
0,-48,9.76230261514397e-9,5.208839079700331e-11
0,-32,9.490803213835576e-9,5.209937342472378e-11
48,0,9.060524447251231e-9,3.5283868230468994e-11
16,-32,2.976467489364254e-6,9.042510463585079e-9
-32,64,5.738287650266311e-6,1.703944727257451e-8
64,-32,3.004211194497578e-6,8.290326529993622e-9
16,32,2.9921366583014932e-6,9.997118519053812e-9
-16,-64,6.0804483332692524e-6,1.7011870703853706e-8
0,16,9.68598820309099e-9,5.633571435878771e-11
-64,-64,6.112704605129996e-6,1.9848776313748014e-8
-64,16,1.6044643644944326e-6,5.325977443096056e-9
32,64,5.753670451146689e-6,1.979603572405259e-8
32,-16,1.5664409305963883e-6,4.4775806397945905e-9
-32,-32,3.3411250926723405e-6,1.0462385049821788e-8
32,-32,3.0040471014304545e-6,9.850335151676638e-9
32,0,9.206613048262688e-9,3.976116848406633e-11
-64,-48,4.729179533902644e-6,1.624195477948119e-8
-32,0,9.072829863166992e-9,4.613381774187815e-11
0,-64,9.576974914234747e-9,3.85403613467526e-11
0,64,9.75913182949889e-9,3.9860829370768625e-11
-48,64,5.7561766007616045e-6,1.619920802738803e-8
-48,-16,1.907739503958287e-6,5.597090328795746e-9
-16,0,9.15368489268377e-9,5.234978133161346e-11
48,-32,2.982413479975221e-6,1.0400807977961675e-8
-64,32,2.982872501824829e-6,1.0080382394705979e-8
32,-64,5.753709567582447e-6,1.9807443843491263e-8
64,-64,5.759896304107284e-6,1.7064116414262123e-8
-32,32,2.972298575799888e-6,8.809369435401512e-9
-64,-32,3.312528422437327e-6,1.1084467846813041e-8
0,-16,9.598322384666432e-9,5.26489625269902e-11
48,48,4.379720232741472e-6,1.4391796013167212e-8
-32,-16,1.933539059868707e-6,5.929390875591431e-9
