Base Size,Exponent Size,Mean,Stddev
-16,32,1.2438054043453586e-5,4.432424845174976e-8
-16,48,1.82797089277533e-5,6.660788216542072e-8
-32,48,1.8290382737015173e-5,5.910753541773605e-8
48,-16,6.376932593180767e-6,1.9332726029437853e-8
64,-16,6.335182576700457e-6,2.1870802068061947e-8
-48,16,6.378808409269497e-6,1.991976877675524e-8
16,0,9.282585544854386e-9,4.806050815267056e-11
16,-48,1.8291355641913646e-5,6.10634687285369e-8
16,16,6.378329033910429e-6,2.0131499526111798e-8
32,48,1.837762645107064e-5,6.374489207602232e-8
-64,0,9.267296623157464e-9,4.628478169412884e-11
16,64,2.419035108141192e-5,8.519088781689138e-8
16,48,1.824567429259727e-5,6.082376962234232e-8
32,16,6.412519299452195e-6,2.2580101501468396e-8
48,-64,2.413464562447133e-5,8.307119131076847e-8
64,64,2.4246706154252007e-5,8.409483668322838e-8
64,48,1.831672131078985e-5,6.156816023447804e-8
16,-16,6.35500900745846e-6,1.984380325686619e-8
64,-48,1.818350227413374e-5,6.420596804885287e-8
64,16,6.414434725443799e-6,2.2816381919654402e-8
-48,-48,1.924136642986424e-5,7.067502452299522e-8
64,0,9.189214861130159e-9,3.4450482938638484e-11
32,32,1.2405150944727641e-5,4.09931240637528e-8
-16,-48,1.8657851045331986e-5,6.644931886544237e-8
16,-64,2.4182092093035495e-5,8.069704715027563e-8
-32,16,6.400159334661628e-6,2.0705198037806557e-8
0,32,9.764794356452406e-9,4.6319152677578294e-11
-48,0,9.149240426542317e-9,5.642106297713576e-11
-16,-32,1.284407161300969e-5,4.6814527657128125e-8
-48,-64,2.5189631259621072e-5,9.051195877193948e-8
0,48,9.671102372144735e-9,5.7512365610406345e-11
48,-48,1.838563548944588e-5,5.879576643381747e-8
-32,-48,1.900051772306746e-5,6.036595697130949e-8
-32,-64,2.5020367587475342e-5,8.321057819864328e-8
48,32,1.2388810585470692e-5,3.8441310044928884e-8
-16,-16,6.802384561675995e-6,2.1668501583648274e-8
-48,-32,1.3371812587004982e-5,4.08732947052982e-8
-16,16,6.346627707793039e-6,2.05614904621319e-8
-16,64,2.4123243936350268e-5,9.263328929321583e-8
0,0,9.146895685337311e-9,4.9273518345818336e-11
64,32,1.2318353636411363e-5,4.018069934588371e-8
-64,48,1.8325289585763438e-5,6.220060009196485e-8
-48,32,1.2446279429835958e-5,4.822638119304079e-8
-48,48,1.8344700112904458e-5,6.397081288104155e-8
48,16,6.445650951796926e-6,2.0423404524353738e-8
-64,64,2.4185198769858937e-5,8.283888178553266e-8
32,-48,1.8290158527451267e-5,6.314332569143134e-8
-64,-16,7.389758905952602e-6,2.0678871556931165e-8
48,64,2.4221008052374133e-5,8.912894214358155e-8
0,-48,9.669483238489969e-9,5.1516046338936563e-11
0,-32,9.61516786104575e-9,4.039322494204318e-11
48,0,9.155700956663402e-9,4.0833827746499815e-11
16,-32,1.2355235135002958e-5,4.1638171998058436e-8
-32,64,2.4080993812832287e-5,9.21577386440631e-8
64,-32,1.2458341099578284e-5,4.127920835890015e-8
16,32,1.2404607525066341e-5,4.0348698169359793e-8
-16,-64,2.474685981022729e-5,8.563647186237495e-8
0,16,9.666978356264161e-9,4.261328078484786e-11
-64,-64,2.516340834731223e-5,8.623088626067564e-8
-64,16,6.425579397046014e-6,2.0416818709757982e-8
32,64,2.4135686189926544e-5,9.230487764571194e-8
32,-16,6.444601225151925e-6,2.0451574041247745e-8
-32,-32,1.3155827453292788e-5,4.5282675174928584e-8
32,-32,1.2393682325473837e-5,4.0433054851542365e-8
32,0,9.063847758220277e-9,3.4687254539052444e-11
-64,-48,1.9297289761563954e-5,6.355723173343317e-8
-32,0,9.127262395110041e-9,4.882889246074554e-11
0,-64,9.592688018867053e-9,4.184233468442553e-11
0,64,9.58511821315344e-9,4.774127446590335e-11
-48,64,2.416312542940538e-5,8.703947417533008e-8
-48,-16,7.35214751144567e-6,2.589074749106902e-8
-16,0,9.146083079682973e-9,4.556732483440515e-11
48,-32,1.2355599564859575e-5,3.839585070355448e-8
-64,32,1.2436707232668944e-5,4.440351475410266e-8
32,-64,2.430024550381745e-5,8.426774629895875e-8
64,-64,2.4156571748552725e-5,7.88733658092063e-8
-32,32,1.2442807234515864e-5,4.166238611105751e-8
-64,-32,1.3353088606234533e-5,4.4079116642956926e-8
0,-16,9.609927736803479e-9,6.121972514265651e-11
48,48,1.828781351128768e-5,6.108374832932442e-8
-32,-16,7.10971709494961e-6,2.2313929410009128e-8
